epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.9781,1.32317,2.3029,1.52237,0.52718,0.57971,0.51659,0.29068,1.48463,2.25307,1.47656,0.000414326,0.000414326,0.000414326
2,173.846,1.22602,1.66287,1.43107,0.62083,0.577,0.57955,0.38034,1.2434,1.94587,1.34331,0.000820709,0.000820709,0.000820709
3,260.647,1.20619,1.48024,1.4298,0.52752,0.62877,0.58018,0.36119,1.32167,1.67297,1.37475,0.00121678,0.00121678,0.00121678
4,347.514,1.16943,1.37679,1.40965,0.59493,0.65169,0.63329,0.41609,1.30018,1.46387,1.41248,0.00120359,0.00120359,0.00120359
5,433.378,1.12876,1.21907,1.38032,0.6315,0.63776,0.61839,0.36993,1.42752,1.44475,1.48864,0.00118812,0.00118812,0.00118812
6,521.072,1.10596,1.16368,1.36576,0.63187,0.66861,0.63702,0.38246,1.43849,1.44937,1.47796,0.00117266,0.00117266,0.00117266
7,607.289,1.08618,1.12161,1.34196,0.65629,0.71744,0.68824,0.42963,1.3251,1.29495,1.46491,0.00115719,0.00115719,0.00115719
8,692.518,1.07049,1.09311,1.34247,0.66889,0.68787,0.69508,0.46731,1.20637,1.24471,1.32214,0.00114172,0.00114172,0.00114172
9,791.864,1.045,1.05104,1.32364,0.65672,0.67969,0.66504,0.42428,1.30148,1.27135,1.43722,0.00112625,0.00112625,0.00112625
10,876.687,1.03168,1.04035,1.3181,0.63981,0.69408,0.6639,0.42463,1.31815,1.28128,1.37123,0.00111078,0.00111078,0.00111078
11,962.316,0.9984,0.98902,1.29568,0.72131,0.68062,0.68212,0.33233,1.7717,1.33292,1.74836,0.00109531,0.00109531,0.00109531
12,1047.09,0.99229,0.96466,1.28958,0.6284,0.72419,0.6592,0.41635,1.37553,1.25458,1.40479,0.00107984,0.00107984,0.00107984
13,1116.45,0.98604,0.93094,1.27197,0.64914,0.72158,0.68546,0.4558,1.21276,1.16318,1.32779,0.00106437,0.00106437,0.00106437
14,1185.68,0.97678,0.93014,1.2764,0.73179,0.68026,0.70347,0.50759,1.0993,1.09938,1.30585,0.00104891,0.00104891,0.00104891
15,1254.94,0.97437,0.91007,1.28292,0.63521,0.7631,0.72547,0.46451,1.33319,1.1625,1.40585,0.00103344,0.00103344,0.00103344
16,1324.26,0.94419,0.88088,1.25562,0.62755,0.7751,0.68966,0.4783,1.17573,1.13296,1.29168,0.00101797,0.00101797,0.00101797
17,1393.52,0.94337,0.86069,1.24998,0.72707,0.72661,0.71954,0.46153,1.30832,1.17712,1.3914,0.0010025,0.0010025,0.0010025
18,1462.9,0.93745,0.85406,1.24885,0.73135,0.72122,0.69764,0.48069,1.15423,1.13871,1.31902,0.000987031,0.000987031,0.000987031
19,1532.15,0.92577,0.8346,1.24727,0.72112,0.68735,0.70807,0.46762,1.23914,1.13858,1.38273,0.000971562,0.000971562,0.000971562
20,1601.43,0.92369,0.84146,1.24461,0.66081,0.70429,0.69405,0.45235,1.25625,1.17568,1.37221,0.000956094,0.000956094,0.000956094
21,1670.97,0.89876,0.81007,1.22641,0.72788,0.73904,0.72551,0.51865,1.05322,1.09883,1.25943,0.000940625,0.000940625,0.000940625
22,1740.42,0.90014,0.80687,1.22362,0.68649,0.71607,0.7083,0.49888,1.10297,1.09282,1.32827,0.000925156,0.000925156,0.000925156
23,1809.84,0.90045,0.80193,1.21991,0.69808,0.73022,0.68861,0.44921,1.25183,1.10674,1.34241,0.000909688,0.000909688,0.000909688
24,1879.33,0.8909,0.78026,1.21918,0.70771,0.73239,0.69593,0.48306,1.16135,1.06772,1.31937,0.000894219,0.000894219,0.000894219
25,1951.29,0.88101,0.76825,1.21795,0.71081,0.72683,0.72611,0.51152,1.10481,1.14176,1.31843,0.00087875,0.00087875,0.00087875
26,2020.67,0.86116,0.75795,1.19679,0.67043,0.71681,0.69128,0.48013,1.17821,1.16438,1.32849,0.000863281,0.000863281,0.000863281
27,2089.84,0.85412,0.72626,1.19261,0.69772,0.76138,0.70474,0.49873,1.15041,1.08367,1.32407,0.000847813,0.000847813,0.000847813
28,2159.28,0.86165,0.74889,1.19792,0.73345,0.75071,0.72201,0.50024,1.18605,1.06833,1.34842,0.000832344,0.000832344,0.000832344
29,2228.58,0.84034,0.71184,1.18416,0.69898,0.74528,0.70619,0.48969,1.23695,1.11347,1.37363,0.000816875,0.000816875,0.000816875
30,2297.91,0.84453,0.71931,1.18533,0.72967,0.75734,0.71667,0.48651,1.25019,1.03406,1.3415,0.000801406,0.000801406,0.000801406
31,2367.23,0.83479,0.70844,1.18164,0.68956,0.77193,0.71645,0.51743,1.11009,1.10253,1.27166,0.000785938,0.000785938,0.000785938
32,2436.47,0.83344,0.70305,1.17997,0.72424,0.72264,0.70807,0.48659,1.19511,1.02885,1.30411,0.000770469,0.000770469,0.000770469
33,2505.76,0.81764,0.72727,1.18463,0.78848,0.73171,0.71605,0.48519,1.23904,1.08422,1.36326,0.000755,0.000755,0.000755
34,2575.3,0.83099,0.68823,1.17721,0.78528,0.67142,0.72505,0.50229,1.1898,1.11435,1.32133,0.000739531,0.000739531,0.000739531
35,2644.69,0.83316,0.69519,1.18353,0.72474,0.74947,0.72823,0.51188,1.1577,1.07803,1.30581,0.000724062,0.000724062,0.000724062
36,2714.17,0.81401,0.681,1.16819,0.75759,0.73392,0.717,0.48757,1.28376,1.08523,1.37334,0.000708594,0.000708594,0.000708594
